source,target,source_symbol,target_symbol,correlation,abs_correlation,sign
5653,3872,5653,3872,0.7462478545684241,0.7462478545684241,positive
5653,8190,5653,8190,0.7299394272572537,0.7299394272572537,positive
5653,5268,5653,5268,0.7202939744081737,0.7202939744081737,positive
5653,6273,5653,6273,0.6652195169104032,0.6652195169104032,positive
5653,1825,5653,1825,0.7057975769817249,0.7057975769817249,positive
5653,653145,5653,653145,0.7242011005889382,0.7242011005889382,positive
5653,90019,5653,90019,0.6595408511608416,0.6595408511608416,positive
5653,1830,5653,1830,0.6934928282063724,0.6934928282063724,positive
5653,3868,5653,3868,0.7404705766305115,0.7404705766305115,positive
5653,286887,5653,286887,0.6822819847090619,0.6822819847090619,positive
5653,2196,5653,2196,0.6921263067308279,0.6921263067308279,positive
5653,23650,5653,23650,0.7388301694047869,0.7388301694047869,positive
5650,25818,5650,25818,0.9074362661446818,0.9074362661446818,positive
