true_class,prob_basal,prob_her2,prob_luminal_A,prob_luminal_B,prob_normal
luminal_A,0.03269441837392242,0.060296063363596435,0.6935640140612706,0.07374247416594246,0.13970303003526877
luminal_A,0.014659207324028685,0.04635116040642587,0.6668017590013668,0.25208734641147534,0.020100526856703365
luminal_A,0.008706193266307012,0.055883354591723625,0.5483583665439173,0.3743992401116189,0.01265284548643303
luminal_A,0.012854499281892768,0.019303158963718474,0.6691959312086894,0.015755783502200634,0.28289062704349893
luminal_A,0.025050546186240398,0.04346047612493644,0.7884333099860057,0.07260330113730591,0.07045236656551127
luminal_B,0.035613739246627946,0.10554707878100285,0.19469543083578986,0.6319908489968497,0.03215290213972991
luminal_B,0.034376266133354365,0.09231776060949308,0.25114596761943675,0.6001833753585514,0.021976630279164314
luminal_A,0.0025655529837489773,0.03793010205493265,0.5850552937728901,0.36325634898509157,0.011192702203336827
luminal_A,0.009453712724937963,0.041256191217744057,0.824629732181581,0.09132888734954403,0.033331476526193046
luminal_B,0.05130150875105944,0.19406231695433102,0.3104363925828813,0.38091404990709266,0.0632857318046357
luminal_A,0.04230348738132528,0.4023861104724478,0.35524118073883415,0.13365675793603998,0.06641246347135257
luminal_A,0.07818782103903962,0.21715174159764392,0.44098939925203,0.16498487448034085,0.098686163630946
luminal_B,0.04726344731620993,0.2258363829026768,0.30932615272426156,0.34593349716742716,0.07164051988942502
luminal_B,0.01832421958346998,0.0810433759554306,0.14452751015339477,0.7353729136585251,0.020731980649179523
basal,0.7300802167968544,0.0816556173379187,0.02932392679502892,0.04987861415725978,0.10906162491293803
basal,0.8223184129162293,0.07255280035361132,0.013455811336475124,0.03961417636212313,0.05205879903156086
luminal_A,0.012419249728508743,0.02656528851457495,0.859010716475386,0.05304695015944935,0.048957795122081295
normal,0.04417269158946098,0.017672154148674808,0.2287127082548022,0.00931032243565041,0.700132123571412
luminal_B,0.03618875575828112,0.11498973447063915,0.19989936326474733,0.625576756989167,0.02334538951716502
luminal_B,0.007887369942707159,0.09552577714943816,0.34547509939914345,0.529247340635694,0.021864412873017575
luminal_A,0.05160486855840648,0.11847203603547996,0.5044405877981639,0.117585816545898,0.20789669106205186
luminal_A,0.0016568563512333319,0.013739013951386212,0.9431091639188465,0.038941719448650464,0.0025532463298836698
