rank,original_gene_id,hugo_symbol,mean_abs_shap_overall
1427,5064,PALM,3.521623217660023e-05
1428,5460,POU5F1,3.5147290153855025e-05
1429,3595,IL12RB2,3.508742700735225e-05
1430,8170,SLC14A2,3.495726333417238e-05
1431,113457,TUBA3D,3.49396529038515e-05
1432,55351,STK32B,3.480574655952003e-05
1433,1733,DIO1,3.4687682749971165e-05
1434,93432,MGAM2,3.4673159881737174e-05
1435,11013,TMSB15A,3.466203421616978e-05
1436,50649,ARHGEF4,3.4620668615861547e-05
1437,84722,PSRC1,3.4370478890611056e-05
1438,27290,SPINK4,3.436011445373399e-05
1439,10279,PRSS16,3.432065165347367e-05
1440,3559,IL2RA,3.405584166468318e-05
1441,154865,IQUB,3.4034882269819295e-05
1442,11254,SLC6A14,3.4030442280198445e-05
1443,1360,CPB1,3.3581768428431254e-05
1444,1756,DMD,3.3503323312916276e-05
1445,26353,HSPB8,3.349808584996574e-05
1446,79659,DYNC2H1,3.3397769066967105e-05
1447,9518,GDF15,3.337623800578078e-05
1448,3925,STMN1,3.3370889211823424e-05
1449,2346,FOLH1,3.3322997191909806e-05
1450,3679,ITGA7,3.3285102465893996e-05
1451,80725,SRCIN1,3.32507746195598e-05
1452,84467,FBN3,3.3217650759719804e-05
1453,480,ATP1A4,3.302076213260421e-05
1454,6297,SALL2,3.301632119658038e-05
1455,157310,PEBP4,3.297499388126745e-05
1456,55613,MTMR8,3.29528799741197e-05
1457,2651,GCNT2,3.272326518389425e-05
1458,79987,SVEP1,3.264974252094134e-05
1459,283455,KSR2,3.253435191844318e-05
1460,2019,EN1,3.2520839193115884e-05
1461,27146,FAM184B,3.2471188773544114e-05
1462,387804,VSTM5,3.244416453537e-05
1463,126206,NLRP5,3.2330473853690854e-05
1464,51166,AADAT,3.223360181767108e-05
1465,81569,ACTL8,3.216555783251572e-05
1466,11067,DEPP1,3.204602243573431e-05
1467,23413,NCS1,3.1810262358353055e-05
1468,1261,CNGA3,3.170587200500345e-05
1469,201294,UNC13D,3.157397475609193e-05
1470,57152,SLURP1,3.1440656516107595e-05
1471,63923,TNN,3.1363122676797524e-05
1472,23551,RASD2,3.1254021806042916e-05
1473,284904,SEC14L4,3.114946257949861e-05
1474,29881,NPC1L1,3.1087369028930504e-05
1475,1396,CRIP1,3.107608411436165e-05
1476,10140,TOB1,3.100701915450083e-05
1477,80031,SEMA6D,3.0862280024829886e-05
1478,23194,FBXL7,3.077783916571979e-05
1479,146760,RTN4RL1,3.069073040362143e-05
1480,7369,UMOD,3.0624422815320865e-05
1481,25946,ZNF385A,3.060801772114203e-05
1482,8912,CACNA1H,3.0553989880155604e-05
1483,54742,LY6K,3.052003975499125e-05
1484,5754,PTK7,3.0472182112392802e-05
1485,6571,SLC18A2,3.0336029467333642e-05
1486,25841,ABTB2,3.0318247559544614e-05
1487,6506,SLC1A2,3.0307384777439416e-05
1488,3857,KRT9,3.0231903251199776e-05
1489,729359,PLIN4,3.0123481581142575e-05
1490,2194,FASN,3.006030003190637e-05
1491,113177,IZUMO4,2.9961209307160606e-05
1492,1589,CYP21A2,2.9933287491586868e-05
1493,151647,TAFA4,2.993150409054191e-05
1494,129852,CIMIP6,2.9822177873939804e-05
1495,1690,COCH,2.971545671404182e-05
1496,285368,PRRT3,2.967301177718352e-05
1497,401498,TMEM215,2.9603443912258468e-05
1498,26227,PHGDH,2.9600815602483047e-05
1499,6857,SYT1,2.9519545308398862e-05
1500,79891,ZNF671,2.9467572181035192e-05
1501,1717,DHCR7,2.9416377058806864e-05
1502,59084,ENPP5,2.934117057154032e-05
1503,129881,CFAP210,2.9333609951966043e-05
1504,132720,FAM241A,2.9259473523465548e-05
1505,368,ABCC6,2.9175197610495957e-05
1506,4776,NFATC4,2.9130631782273934e-05
1507,2354,FOSB,2.911990982355663e-05
1508,4246,SCGB2A1,2.9117393768990904e-05
1509,10761,PLAC1,2.895891808394043e-05
1510,116844,LRG1,2.8951572043311125e-05
1511,343637,RSPO4,2.890290311267842e-05
1512,342125,TMC3,2.883936510092671e-05
1513,150572,SMYD1,2.8836680175403986e-05
1514,341019,DCDC1,2.8743055709936294e-05
1515,54033,RBM11,2.8648529086729755e-05
1516,6457,SH3GL3,2.8601008119081822e-05
1517,10309,CCNO,2.856080947263036e-05
1518,127733,UBXN10,2.851179766782933e-05
1519,56853,CELF4,2.846317756729556e-05
1520,254263,CNIH2,2.8382289053632057e-05
1521,55614,KIF16B,2.8287671951963217e-05
1522,4488,MSX2,2.8268314868565497e-05
1523,5076,PAX2,2.8268098287164832e-05
1524,94025,MUC16,2.8208273086955046e-05
1525,5646,PRSS3,2.8102070673402073e-05
1526,9076,CLDN1,2.8078585893045144e-05
1527,2151,F2RL2,2.7897918853839394e-05
1528,89927,BMERB1,2.7853304533342743e-05
1529,25790,CFAP45,2.7846335429360202e-05
1530,79901,CYBRD1,2.7675681219319373e-05
1531,364,AQP7,2.765205047717144e-05
1532,23246,BOP1,2.760198698653938e-05
1533,22983,MAST1,2.7551605072900256e-05
1534,83661,MS4A8,2.7516864692914295e-05
1535,125113,KRT222,2.747882260634255e-05
1536,151126,ZNF385B,2.745676014681113e-05
1537,10389,SCML2,2.7449884276904424e-05
1538,540,ATP7B,2.7424772251746363e-05
1539,57526,PCDH19,2.739063906614997e-05
1540,5727,PTCH1,2.7388391877997523e-05
1541,1960,EGR3,2.7350070351347283e-05
1542,260293,CYP4X1,2.7275638080914222e-05
1543,8639,AOC3,2.716791777509377e-05
1544,90527,DUOXA1,2.7087126512238145e-05
1545,157506,RDH10,2.7059723946960017e-05
1546,2593,GAMT,2.7040563253228935e-05
1547,728656,DMRTC1B,2.694673219638227e-05
1548,132203,SNTN,2.6923050171657108e-05
1549,375307,CATIP,2.6872847109274768e-05
1550,8521,GCM1,2.6868698497823408e-05
