feature_index,original_gene_id,hugo_symbol
669,26289,AK5
670,2633,GBP1
671,26353,HSPB8
672,26507,CNNM1
673,2651,GCNT2
674,26525,IL36RN
675,26577,PCOLCE2
676,26659,OR7A5
677,266722,HS6ST3
678,2670,GFAP
679,2674,GFRA1
680,2676,GFRA3
681,2691,GHRH
682,2696,GIPR
683,26960,NBEA
684,26996,GPR160
685,27019,DNAI1
686,2705,GJB1
687,27065,NSG1
688,2707,GJB3
689,27074,LAMP3
690,27075,TSPAN13
691,27085,MTBP
692,27087,B3GAT1
693,2709,GJB5
694,27092,CACNG4
695,27124,INPP5J
696,27127,SMC1B
697,27134,TJP3
698,27146,FAM184B
699,27161,AGO2
700,27165,GLS2
701,27181,SIGLEC8
702,27190,IL17B
703,27198,HCAR1
704,27199,OXGR1
705,27202,C5AR2
706,27232,GNMT
707,27239,GPR162
708,27242,TNFRSF21
709,27254,CSDC2
710,27285,TEKT2
711,27290,SPINK4
712,273,AMPH
713,27306,HPGDS
714,27314,RAB30
715,27324,TOX3
716,27338,UBE2S
717,27344,PCSK1N
718,2735,GLI1
719,2737,GLI3
720,2743,GLRB
721,2752,GLUL
722,276,AMY1A
723,2813,GP2
724,28231,SLCO4A1
725,2824,GPM6B
726,2827,GPR3
727,282890,ZNF311
728,282973,JAKMIP3
729,283152,DRC12
730,283248,RCOR2
731,283284,IGSF22
732,283455,KSR2
733,2835,GPR12
734,283659,PRTG
735,283726,SAXO2
736,283948,NHLRC4
737,283987,HID1
738,284018,C17orf58
739,2842,GPR19
740,284266,SIGLEC15
741,284297,SSC5D
742,284339,TMEM145
743,284390,ZNF763
744,284403,WDR62
745,284467,TAFA3
746,284656,EPHA10
747,284904,SEC14L4
748,284992,CCDC150
749,285016,ALKAL2
750,28513,CDH19
751,285368,PRRT3
752,285386,TPRG1
753,285489,DOK7
754,285600,KIAA0825
755,285643,KIF4B
756,285676,ZNF454
757,285800,PRR18
758,286207,CFAP157
759,286262,TPRN
760,2863,GPR39
761,286527,TMSB15B
762,2867,FFAR2
763,286753,TRARG1
764,286887,KRT6C
765,2882,GPX7
766,2890,GRIA1
767,2893,GRIA4
768,28965,SLC27A6
769,2897,GRIK1
770,2899,GRIK3
771,2900,GRIK4
772,29015,SLC43A3
773,29028,ATAD2
774,29089,UBE2T
775,29113,C6orf15
776,29127,RACGAP1
777,29128,UHRF1
778,2914,GRM4
779,2916,GRM6
780,2919,CXCL1
781,2920,CXCL2
782,2921,CXCL3
783,2922,GRP
784,2925,GRPR
785,2938,GSTA1
786,2946,GSTM2
787,2947,GSTM3
788,2949,GSTM5
789,2950,GSTP1
790,29842,TFCP2L1
791,29881,NPC1L1
792,29899,GPSM2
793,29944,PNMA3
794,29951,PDZRN4
795,29964,PRICKLE4
796,29968,PSAT1
797,29970,SCHIP1
798,29980,DONSON
799,30010,NXPH1
800,30012,TLX3
801,3002,GZMB
802,30061,SLC40A1
803,301,ANXA1
804,3043,HBB
805,306,ANXA3
806,3067,HDC
807,3070,HELLS
808,3081,HGD
809,30812,SOX8
810,3112,HLA-DOB
811,3149,HMGB3
812,3158,HMGCS2
813,3159,HMGA1
814,3161,HMMR
815,3169,FOXA1
816,319,APOF
817,3195,TLX1
818,3199,HOXA2
819,32,ACACB
820,321,APBA2
821,3212,HOXB2
822,3213,HOXB3
823,323,APBB2
824,3249,HPN
825,3263,HPX
826,3270,HRC
827,3294,HSD17B2
828,332,BIRC5
829,333926,PPM1J
830,3359,HTR3A
831,338328,GPIHBP1
832,338596,ST8SIA6
833,338645,LUZP2
834,338761,C1QL4
835,339366,ADAMTSL5
836,339416,ANKRD45
837,339674,SMIM45
838,339745,SPOPL
839,339761,CYP27C1
840,339778,CIMIP2C
841,339965,CCDC158
842,3400,ID4
843,340348,TSPAN33
844,340485,ACER2
845,340543,TCEAL5
846,340706,VWA2
847,341019,DCDC1
848,341676,NEK5
849,342125,TMC3
850,342184,FMN1
851,342667,STAC2
852,342897,NCCRP1
853,343099,CCDC18
854,343171,OR2W3
855,343637,RSPO4
856,343990,CRACDL
857,344905,ATP13A5
858,345557,PLCXD3
859,345757,FAM174A
860,346171,ZFP57
861,346673,STRA8
862,346689,KLRG2
863,347365,ITIH6
864,347404,LANCL3
865,347475,CCDC160
866,3475,IFRD1
867,347853,TBX10
868,3479,IGF1
869,3480,IGF1R
870,3481,IGF2
871,3483,IGFALS
872,348487,FAM131C
873,3487,IGFBP4
874,348938,NIPAL4
875,349136,WDR86
876,352909,DNAAF3
877,353497,POLN
878,3559,IL2RA
879,3572,IL6ST
880,3576,CXCL8
881,3595,IL12RB2
882,36,ACADSB
883,3613,IMPA2
884,362,AQP5
885,3620,IDO1
886,3627,CXCL10
887,364,AQP7
888,366,AQP9
889,3667,IRS1
890,367,AR
891,3679,ITGA7
892,368,ABCC6
893,3696,ITGB8
894,3699,ITIH3
895,3708,ITPR1
896,3712,IVD
897,3713,IVL
898,3730,ANOS1
899,3732,CD82
900,374393,FAM111B
901,3747,KCNC2
902,374860,ANKRD30B
903,374864,CCDC178
904,374897,SBSN
905,375035,SFT2D2
906,375061,FAM89A
907,3752,KCND3
908,375307,CATIP
909,375449,MAST4
910,3755,KCNG1
911,3756,KCNH1
912,375775,PNPLA7
913,375791,CYSRT1
914,3760,KCNJ3
915,3767,KCNJ11
916,3773,KCNJ16
917,377677,CA13
918,3778,KCNMA1
919,377841,ENTPD8
920,3779,KCNMB1
921,3783,KCNN4
922,3787,KCNS1
923,3800,KIF5C
924,3832,KIF11
925,3833,KIFC1
926,3838,KPNA2
927,3852,KRT5
928,3853,KRT6A
929,3854,KRT6B
930,3855,KRT7
931,3857,KRT9
932,3861,KRT14
933,3866,KRT15
934,3868,KRT16
935,387103,CENPW
936,3872,KRT17
937,3875,KRT18
938,387700,SLC16A12
939,387804,VSTM5
940,387914,SHISA2
941,387923,SERP2
942,388135,INSYN1
943,388336,SHISA6
944,388389,DNAAF19
945,388588,SMIM1
946,388633,LDLRAD1
947,388662,SLC6A17
948,3887,KRT81
949,388743,CAPN8
950,3889,KRT83
951,388931,MFSD2B
952,388939,PCARE
953,388963,C2orf81
954,389084,SNORC
955,389118,CDHR4
956,389125,MUSTN1
957,3892,KRT86
958,389333,PROB1
959,389336,C5orf46
960,389421,LIN28B
961,389432,SAMD5
962,389434,IYD
963,3897,L1CAM
964,3898,LAD1
965,389816,LRRC26
966,3899,AFF3
967,3908,LAMA2
968,3909,LAMA3
969,390928,ACP7
970,3914,LAMB3
971,3918,LAMC2
972,392465,GLOD5
973,3925,STMN1
974,3930,LBR
975,3934,LCN2
976,3938,LCT
977,3945,LDHB
978,3955,LFNG
979,3976,LIF
980,3991,LIPE
981,399694,SHC4
982,4001,LMNB1
983,400224,PLEKHD1
984,400451,FAM174B
985,400629,TEX19
986,400746,NCMAP
987,400793,C1orf226
988,400830,DEFB132
989,4010,LMX1B
990,401138,AMTN
991,401207,C5orf63
992,401250,MCCD1
993,401409,RAB19
994,401498,TMEM215
995,401546,C9orf152
996,4025,LPO
997,402573,SPACDR
998,4036,LRP2
999,4056,LTC4S
1000,4057,LTF
1001,4059,BCAM
1002,4071,TM4SF1
1003,4081,MAB21L1
1004,4085,MAD2L1
1005,4099,MAG
1006,4103,MAGEA4
1007,4112,MAGEB1
1008,4115,MAGEB4
1009,4128,MAOA
1010,4133,MAP2
1011,4137,MAPT
1012,414149,ACBD7
1013,4148,MATN3
1014,415117,STX19
1015,4171,MCM2
1016,4173,MCM4
1017,4188,MDFI
1018,419,ART3
1019,4199,ME1
1020,4214,MAP3K1
1021,4233,MET
1022,4239,MFAP4
1023,4240,MFGE8
1024,4241,MELTF
1025,4246,SCGB2A1
1026,4248,MGAT3
1027,4250,SCGB2A2
1028,4254,KITLG
1029,427,ASAH1
1030,4281,MID1
1031,4288,MKI67
1032,429,ASCL1
1033,4312,MMP1
1034,4316,MMP7
1035,4321,MMP12
1036,4326,MMP17
1037,4329,ALDH6A1
1038,4355,MPP2
1039,4359,MPZ
1040,440,ASNS
1041,440097,DBX2
1042,440184,CCDC196
1043,440503,PLIN5
1044,441027,TMEM150C
1045,441282,AKR1B15
1046,442117,GALNTL6
1047,4435,CITED1
1048,445,ASS1
